source_data,batch_id,major_job_id,priority
60 ವರ್ಷ ಮೇಲ್ಪಟ್ಟವರು ಹಾಗೂ 10 ವರ್ಷದೊಳಗಿನ ಮಕ್ಕಳಿಗೆ ಪ್ರಾರ್ಥನಾ ಮಂದಿರಗಳ ಪ್ರವೇಶ ನಿರ್ಬಂಧ ವಿಧಿಸಲಾಗಿದೆ.,337,4,low
ಸ್ಯಾಮ್‌ಸಂಗ್ ಗ್ಯಾಲಕ್ಸಿ S20 ತ್ರಿವಳಿ ಕ್ಯಾಮರಾ ಹೊಂದಿದ್ದರೆ Galaxy S20+ ಮತ್ತು S20 Ultra 4 ಕ್ಯಾಮರಾ ಹೊಂದಿದೆ.,337,4,low
ಕಳೆದ 24 ಗಂಟೆಗಳಲ್ಲಿ ದೇಶದಲ್ಲಿಯೇ ಅತಿಹೆಚ್ಚು ಮಳೆಯಾದ 10 ಪ್ರದೇಶಗಳಲ್ಲಿ ಕರ್ನಾಟಕದ ಮೂರು ಸ್ಥಳಗಳು ಸ್ಥಾನ ಪಡೆದಿವೆ.,337,4,low
ಇದರ ಜೊತೆಗೆ 5-11 ವರ್ಷ ವಯಸ್ಸಿನ 71 ಲಕ್ಷ ಮಕ್ಕಳು ತಮ್ಮ ಕುಟುಂಬ ಸದಸ್ಯರ ಆನ್‌ಲೈನ್‌ ಬಳಕೆಯ ಸಾಧನಗಳನ್ನು ಬಳಸಿದ್ದಾರೆ.,337,4,low
ಆದರೆ ಬಾಳೆಹಣ್ಣಿನಲ್ಲಿರುವ ಪೆಕ್ಟಿನ್ ಮತ್ತು ನಿರೋಧಕ ಪಿಷ್ಟ ನಿಮ್ಮ ರಕ್ತದಲ್ಲಿ ಸಕ್ಕರೆಯ ಮಟ್ಟ ಕಡಿಮೆ ಮಾಡಲು ನೆರವಾಗುತ್ತದೆ.,337,4,low
ಸುಬ್ರಮಣ್ಯ ಅವರು ವಹಿಸಿಕೊಂಡಿದ್ದ ಅರಮನೆಯ ದರ್ಬಾರ್ ಹಾಲ್‌ನ್ನು ಚಿನ್ನದ ಎಲೆಗಳಿಂದ ಅಲಂಕರಿಸುವ ಕಾಮಗಾರಿಯಲ್ಲೂ ಅಕ್ರಮ ನಡೆದಿದೆ ಎಂದು ಆರೋಪಿಸಲಾಗಿದೆ.,337,4,low
ಅಭ್ಯಾಸ ಮಾಡುವ ಮುಸ್ಲಿಂ ಆಗಿ ನಾನು ಯಾವಾಗಲೂ ಧಾರ್ಮಿಕ ಪದ್ಧತಿಗಳನ್ನು ಅನುಸರಿಸಲು ಪ್ರಯತ್ನಿಸುತ್ತೇನೆ.,337,4,low
ದೆಹಲಿಯಲ್ಲಿ ಬಿಜೆಪಿ ರಾಷ್ಟ್ರೀಯ ಅಧ್ಯಕ್ಷ ಜೆ. ಪಿ. ನಡ್ಡಾ ಅವರನ್ನು ಸೋಮವಾರ ಭೇಟಿ ಮಾಡಿ ತಮ್ಮ ಅಳಲು ತೋಡಿಕೊಂಡಿದ್ದಾರೆ ಎನ್ನಲಾಗಿದೆ.,337,4,low
ಇನ್ನು ಆರೋಪಿಗಳ ಪೈಕಿ ಮೀನಾ ರಾಮ್ (50) ಎಂಬಾತನನ್ನು ಬಕ್ಸಾರ್‌ ಪೊಲೀಸರು ಬಂಧಿಸಿದ್ದಾರೆ.,337,4,low
ಈ ಕುರಿತು ಪ್ರಕರಣ ದಾಖಲಿಸಿಕೊಂಡು ತನಿಖೆ ಕೈಗೊಳ್ಳಲಾಗಿದೆ ಎಂದು ಕ್ಯಾಂಪ್‌ ಠಾಣೆ ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.,337,4,low
"ಅವರು ಪತ್ನಿ, ಮೂವರು ಪುತ್ರರು ಹಾಗೂ ಒಬ್ಬ ಪುತ್ರಿ ಮತ್ತು ಅಭಿಮಾನಿ ಬಳಗವನ್ನು ಅಗಲಿದ್ದಾರೆ.",338,4,low
ಕೊರೊನಾ ವೈರಸ್‌ ಒಂದು ಸಾಂಕ್ರಾಮಿಕ ರೋಗ ಎಂದು ವಿಶ್ವ ಆರೋಗ್ಯ ಸಂಸ್ಥೆ ಪ್ರಕಟಿಸಿದೆ.,338,4,low
ಜೂನ್‌ 26ರಂದು ಪರೋಲ್‌ ಮೇಲೆ ಸಂಗಾರೆಡ್ಡಿ ಜೈಲಿನಿಂದ ಶಂಕರ್‌ ಬಿಡುಗಡೆಯಾಗಿ ಮನೆಗೆ ಹೋಗಿದ್ದ.,338,4,low
ಅವರು ಬಯಸಿದಾಗಲೆಲ್ಲಾ ಅವರನ್ನು ಭಾರತದಲ್ಲಿ ಸ್ವಾಗತಿಸಲಾಗುವುದು ಎಂದು ಅವರಿಗೆ ಭರವಸೆ ನೀಡಲಾಗಿತ್ತು ಎಂದು ಶಾ ಹೇಳಿದ್ದರು.,338,4,low
