source_data,batch_id,major_job_id,priority
"While I was playing video games in the living room, Mother asked me if I would go shopping with her.",113,2,low
"If I want to have sex in my seventies, I have the right to a place that provides me that pleasure.",113,2,low
"Italy is the only country that regards a war as a soccer game, and a soccer game as a war.",113,2,low
"This world's salvation lies exclusively in the heart of the human being, in its ability to reflect, in humility and responsibility.",113,2,low
"There are three things that won't come back in life: the shot arrow, the uttered word, and the missed chance.",113,2,low
"Eeny, meeny, miny, moe, catch a tiger by his toe, if he hollers let him go, eeny, meeny, miny, moe.",113,2,low
I could hear the voices of several other guests who had arrived and were already eating together in the main dinning room.,113,2,low
This novel tells the story of a family from the northeast of Brazil that moves to the southeastern part of the country.,113,2,low
"Gall, lover of the Queen, went - magnanimous tour - / Gallantly from the arena to the Tower Grande, in Nîmes.",113,2,low
"When asked if it was interesting, he showed a gentle smile and affirmed that there is no such thing as something interesting.",113,2,low
"Now that you are an authentic consumer, you can start thinking about how will you pay it back to society.",114,2,low
I have some of the signs on the list to a high degree but I'm not entirely motivated by perfection.,114,2,low
The 21st century composition was so discordant that it felt as though the performer was murdering the Steinway grand piano.,114,2,low
"Although fatalities tend to be rare, many people have died as a result of volcanic eruptions during the last quarter century.",114,2,low
I am not looking forward to going to university abroad - I will feel intense nostalgia for my home town.,114,2,low
I bet you have to twist your body into uncomfortable positions to be able to apply sunblock to your back.,114,2,low
"""He didn't call the entire day, and when he came home late in the evening, he asked me to leave him alone.""",114,2,low
Mary walked along the river with a foreboding that this was the last time she would walk anywhere as a free woman.,114,2,low
"The ash tree that's in our garden still hasn't put out leaves, and it will be the end of May soon.",114,2,low
Tom took the axe and went to chop down some trees in the forest because he wanted to build a new barrier.,114,2,low
"Our flying time tonight will be just under 6 hours, but I'll see if I can speed things up a bit.",115,2,low
Tom went over to where Mary was sitting and gave her the envelope that John had given him to give her.,115,2,low
Tom went over to where Mary was sitting and gave her the envelope John had given him to give her.,115,2,low
"The author of Esperanto lacked a clear concept of the endless struggle existing, more or less acutely at times, between social classes.",115,2,low
We are – if a man of forty can claim that privilege – fellow members of the world's largest younger generation.,115,2,low
"I have no idea how expensive this is going to be, but I know it's going to cost us a lot.",115,2,low
