source_data,batch_id,major_job_id,priority
जब मैं तुम्हारी उम्र का था तब प्लूटो ग्रह था।,225,3,low
"जहाँ तक कि मुझे पता है, उसने अभी तक शादी नहीं की है।",225,3,low
टॉम और मैरी ने कहा कि उन्हें लगता है कि जॉन को वह करना अच्छा नहीं लगा।,225,3,low
मुझे लगता है कि मैरी के बस के बाहर है।,225,3,low
मुझे पता है कि टॉम को पता था कि वह अपने आप नहीं करना चाहिए।,225,3,low
पट्टी लगाने से पहले ध्यान रखना चाहिए कि घाव साफ़ है।,225,3,low
तो क्या प्याला आधा भरा है या फिर आधा खाली?,225,3,low
मैरी ने ध्यान से समझाया कि उसने क्या देखा था।,225,3,low
मैरी ने ध्यान से समझाया कि उसे क्या दिखाई दिया था।,225,3,low
टॉम और मैरी ने कहा कि वे उसके बारे कुछ कर नहीं सकते।,225,3,low
उन्होंने क़सम खाया कि वे कभी फिर से मुझे मारेंगे नहीं।,226,3,low
उन्होंने वादा किया कि वे कभी फिर से मुझे मारेंगे नहीं।,226,3,low
टॉम और मैरी एक छोटे से गाँव में बड़े हुए।,226,3,low
क्या आप हमारे लिए एक अँग्रेज़ी गाना गा सकते हैं?,226,3,low
मेरे सारे बच्चे फ़्रेंच में बात करना सीखना चाहते हैं।,226,3,low
मै रोज़ाना कम से कम तीन बार मंजन करती हूँ ।,226,3,low
मेरे नज़रिए से ऑस्ट्रेलिया विश्व के सर्व-श्रेष्ठ देशों में से एक है।,226,3,low
ऐसा कुछ ना करें जिससे बाद में आपको पछतावा हो ।,226,3,low
टॉम अपने पिता जी के बारे में बहुत बात करता है ।,226,3,low
क्या तुम्हारे पास कुछ करने के लिए नही है ?,226,3,low
टॉम अभी तक नहीं जानता कि ऐसा कैसे करना है।,227,3,low
टॉम अपने बच्चों के साथ सख्ती से पेश आता है।,227,3,low
टॉम अभी तक नहीं जानता कि यह कैसे करना है।,227,3,low
उनकी नजर में वह कोई गलत काम नहीं कर सकता।,227,3,low
उनके नज़रिए में वह कोई गलत काम नहीं कर सकता।,227,3,low
डैन ने लिंडा को उसके साथ रात बिताने के लिए पूछा।,227,3,low
भोजन करते समय कृपया अपने मोबाइल फ़ोन को ना देखें।,227,3,low
मैरी ने मुझे बताया कि उसे चक्कर आ रहा था।,227,3,low
क्या आप जानते हैं कि अभी स्ट्रॉबेरी की कीमत कितनी है?,227,3,low
क्या तुम जानते हो कि अभी स्ट्रॉबेरी की कीमत कितनी है?,227,3,low
कई कंपनियां टीवी पर अपने उत्पादों का विज्ञापन करती हैं।,228,3,low
टॉम ने इस बात से कभी इनकार नहीं किया कि उसने मैरी को मार डाला।,228,3,low
वह ईसाई है और वह एक इस्लामिक सेंटर में काम करती है।,228,3,low
मैरी ने कहा कि उसने हमारे साथ जाने की योजना नहीं बनाई थी।,228,3,low
मुझे सच में किसी की भी मदद की ज़रूरत नहीं है।,228,3,low
कुछ लोग सोचते हैं कि वे कानून से ऊपर हैं।,228,3,low
कल रात टॉम की चाकू मारकर हत्या कर दी गई थी।,228,3,low
मुझे लगता है कि वे आपका उपयोग कर रहे हैं।,228,3,low
मुझे लगता है कि वह तुम्हारा उपयोग कर रहे हैं।,228,3,low
मैं कुछ समय से वैसा करने के लिए तैयार हूं।,228,3,low
"यदि आप यह वीडियो देख रहे हैं, तो मैं मर चुका हूं।",229,3,low
"अगर तुम यह वीडियो देख रहे हो, तो मैं मर चुका हूं।",229,3,low
टॉम ने कहा की उसे नहीं लगा की गर्मी से मैरी परेशान हो रही थी ।,229,3,low
टॉम ने कहा की उन्हें नहीं लगा की गर्मी से मैरी परेशान हो रही थी ।,229,3,low
क्या तुम्हें कोई अनुमान है कि मैं किस विषय के बारे में बात कर रहा हूँ ?,229,3,low
क्या तुम्हें कोई अनुमान है कि मैं किस विषय के बारे में बात कर रही हूँ ?,229,3,low
वे ऐसे खाते रहे जैसे कुछ हुआ ही न हो।,229,3,low
"मानो या ना मानो, सत्य यही है की आज कोई किसी का सगा नहीं है ।",229,3,low
"सत्यकि के अतिरिक्त वह अकेला ऐसा यदुवंशी था, जो पाण्डव सेना की ओर से लड़ा ।",229,3,low
"इसके अतिरिक्त यह भाषा गोवा, कर्णाटक, गुजरात, आंध्र प्रदेश, मध्य प्रदेश, तमिल नाडु और छत्तीसगढ़ में बोली जाती है।",229,3,low
"विभिन्न देशों की लोमड़ियों में वहाँ की जलवायु के अनुसार रंग, आकृति और स्वभाव में अंतर होता है।",230,3,low
"सौन्‍दर्य की अनुभूति, सौन्‍दर्यवान वस्‍तु से अधिक समय तक बनी रहती है।",230,3,low
Mujhe nuno kehte hain aur main Purtgaal se hoon par rehta Rio mein hoon.,230,3,low
Usually said saubhagya mera hai - saubhagya means good fortune.,230,3,low
मैं रूस में रहती हूँ और आप। में यूक्रेन में।,230,3,low
"मुझे नूनो कहते हैं और मैं पुर्तगाल से हूं, लेकिन रहता रिओ में हूं।",230,3,low
"आप कैसे हैं? बहुत बढ़िया। और आप? बहुत बढ़िया, शुक्रिया।",230,3,low
मैं रूस में रहता हूं। और तुम? मैं यूक्रेनिया में।,230,3,low
मुझे पता है कि यह एक अच्छा विचार नहीं है।,230,3,low
मुझे नहीं लगता कि किसी ने भी देखा कि हमने क्या किया।,230,3,low
मुझे नहीं लगता कि किसी ने भी ध्यान दिया की हमने क्या किया।,231,3,medium
टॉम को अपनी नौकरी छोड़ने के लिए मजबूर किया गया था ।,231,3,medium
टॉम यहाँ का अब तक का सबसे समझदार व्यक्ति है।,231,3,medium
"जिसकी गलत होने की संभावना है, वह गलत होगा ।",231,3,medium
टॉम ने मुझे बताया कि उसे पर्याप्त नींद नहीं मिली।,231,3,medium
मैं आश्चर्यचकित रह गया था की मुझे वह करने की ज़रूरत नहीं थी ।,231,3,medium
टॉम मैरी के साथ राजकुमारियों जैसा व्यवहार करता है ।,231,3,medium
एक खराब मनोदशा के लिए एक मुस्कान सबसे अच्छा इलाज है।,231,3,medium
बिना बीमा के तुम चिकित्सक से नहीं मिल सकते ।,231,3,medium
टॉम ने वह सब किया जो वह मैरी को शांत करने के लिए कर सकता था।,231,3,medium
ततोइबा के उपयोगकर्ताओं को अकेला और हताश महसूस नहीं करना चाहिए।,232,3,medium
मैरी ने कहा कि उन्हें खुशी है कि आप वापस आ गए हैं।,232,3,medium
मैरी ने कहा कि उन्हें खुशी है कि तुम वापस आ गए।,232,3,medium
मैरी ने कहा कि उसे खुशी है कि आप वापस आ गए हैं।,232,3,medium
मैरी ने कहा कि उसे खुशी है कि तुम वापस आ गए।,232,3,medium
मुझे नहीं लगता कि आपको यहाँ ऐसा करने की अनुमति है।,232,3,medium
मुझे नहीं पता कि टॉम मुझ से क्या करवाना चाहते हैं।,232,3,medium
मुझे नहीं पता कि टॉम मुझ से क्या करवाना चाहता है।,232,3,medium
मुझे उम्मीद नहीं थी कि टॉम इतना अच्छा दिखने वाला होगा।,232,3,medium
मुझे उम्मीद नहीं थी कि टॉम इतना अच्छा दिखता होगा।,232,3,medium
सामी अभी भी इस्लाम के बारे में सीख रहे हैं।,233,3,medium
"वह अपने बाल कटवाना चाहती थी, पर उसकी मम्मी राज़ी नहीं थी।",233,3,medium
"जब वह नहीं कर सकते जो करना चाहते हो, तो वह करो जो कर सकते हो।",233,3,medium
मैं तुम्हें सिगरेट पीना छोड़ देने की सलाह देना चाहता हूँ।,233,3,medium
"न मैंने मदद माँगी है, न मैं मदद चाहता हूँ।",233,3,medium
जॉन ने मेरी से पूछा कि वह दोपहर में उसके साथ बाज़ार जाना चाहती है क्या।,233,3,medium
"सुबह-शाम को ठंड हो जाती है, इसलिए मैं ढंग से कपड़े पहनना चाहती हूँ।",233,3,medium
"अगर तुम मदद चाहते हो, तो मैं मदद करने के लिए तैयार हूँ।",233,3,medium
हमारे माता-पिता ने हमारी देखभाल की थी और अब हमारी बारी है उनकी देखभाल करने की।,233,3,medium
मैं जो भी कहता हूँ वह मेरा यक़ीन कर लेता है।,233,3,medium
अगर कॉफ़ी ज़्यादा कड़वी है तो थोड़ा और पानी डाल लो।,234,3,medium
मैं चाहता हूँ कि तुम यह अपने साथ ले जाओ.,234,3,medium
"उसने उसे उसका जैकेट हाथ में दे दिया, फिर दरवाज़ा खोला और उसे चले जाने के लिए कहां।",234,3,medium
"उन्होंने उन्हें उनका जैकेट हाथ में दे दिया, फिर दरवाज़ा खोला और उन्हें चले जाने के लिए कहां।",234,3,medium
तुम किस शहर के हो? - मैं रोम का हूँ।,234,3,medium
तुम किस शहर की हो? - मैं रोम की हूँ।,234,3,medium
आप किस शहर के हैं? - मैं रोम का हूँ।,234,3,medium
आप किस शहर की हैं? - मैं रोम की हूँ।,234,3,medium
क्या आप मुझे बता सकते हैं कि आपके देश में कितने बजे हैं?,234,3,medium
क्या तुम मुझे बता सकते हो कि तुम्हारे देश में कितने बजे हैं?,234,3,medium
क्या तुम मुझे बता सकती हो कि तुम्हारे देश में कितने बजे हैं?,235,3,medium
क्या आप मुझे बता सकतीं हैं कि आपके देश में कितने बजे हैं?,235,3,medium
राजा का बेटा हमेशा जंगल में शिकार करता रहता है।,235,3,medium
व्यापार से राष्ट्रों को विकास करने में सहायता होती है।,235,3,medium
उसने मुझे बताया कि मैं अपना वक़्त बरबाद कर रहा था।,235,3,medium
उसने मुझे बताया कि मैं अपना वक़्त बरबाद कर रही थी।,235,3,medium
उन्होंने मुझे बताया कि मैं अपना वक़्त बरबाद कर रहा था।,235,3,medium
उन्होंने मुझे बताया कि मैं अपना वक़्त बरबाद कर रही थी।,235,3,medium
"बदकिस्मती से, मुझे अंग्रेज़ी अच्छी तरह से समझ नहीं आती।",235,3,medium
सामी को जेल से भागे हुए दो महीने हो गए है।,235,3,medium
दक्षिण अमरिका के ज़्यादातर देशों में स्पेनी बोली जाती है।,236,3,medium
तुम्हारे लोग अफग़ानिस्तान में मुसलमानों का क़त्ल कर रहे हैं।,236,3,medium
आपके लोग अफग़ानिस्तान में मुसलमानों का क़त्ल कर रहे हैं।,236,3,medium
मैरी ने कहा कि उसने यह किताब तीन बार पढ़ी है।,236,3,medium
एक बिटकॉइन के दास करोड़ भाग हैं। एक भाग को सतोशी कहते हैं।,236,3,medium
आप को अपने बच्चों के लिए अछि मिसाल बनना चाहिए।,236,3,medium
यह जानि मानि बात है कि मकड़ियां कीड़े नहि होति है ।,236,3,medium
मेरे दोस्त ने दिवाली में बहुत अच्छे बधाई बनवाएं ।,236,3,medium
दीपावली भारत के सबसे बड़े परवो में से एक है।,236,3,medium
दीपावली भारत के सर्वाधिक महत्वपूर्ण त्योहारों में से एक है।,236,3,medium
हे भगवान! मुझे अन्धकार से प्रकाश की ओर ले जाइए।,237,3,high
घटोत्कच और टॉम पटाखों के आवाज से बहुत डर गए।,237,3,high
घटोत्कच और टॉम पटाखों के आवाज से बहुत ज्यादा डर गए।,237,3,high
मुझे नहीं लगता कि टॉम मैरी को देखना चाहता है।,237,3,high
मुझे लग रहा था कि मैंने तुम्हें हमेशा के लिए खो दिया है।,237,3,high
ऐसा नहीं है कि अली मोटा है। उसकी बस हड्डियां बड़ी हैं।,237,3,high
रीमा ने कहा कि उसका उसके बॉयफ्रेंड से झगड़ा हुआ था।,237,3,high
टॉम उसकी गर्लफ्रेंड के बारे में लगभग कभी बात नहीं करता।,237,3,high
मुझे लगता है मैं उस लड़की को जानता हूं वो जो वहां है।,237,3,high
मुझे पता है कि टॉम जानता है हमें वो करने की ज़रूरत नहीं है।,237,3,high
टॉम ही अकेला नहीं था जो पार्टी में नशे में था।,238,3,high
टॉम ही अकेला नहीं था जो पार्टी में पिया हुआ था।,238,3,high
टॉम को लगा मैरी को पहले से ही कार चलाना आती थी।,238,3,high
मैं यकीन नहीं कर पा रहा कि टॉम चला गया।,238,3,high
तुम तो किसी की बात नहीं सुनने वालों में से नहीं थे।,238,3,high
मुझे पाता ही जो मुझे करना चाहिए वो मैं नहीं कर रहा हूं।,238,3,high
टॉम ने अभी तक किसी से आंख नहीं मिलाई है।,238,3,high
"अमेरिका बढ़िया जगह है रहने के लिए, अगर तुम यहां पैसे कमाने के लिए हो तो।",238,3,high
तुम कह रहे हो तुम जानबूझकर अपनी सुन्दरता छुपाते हो?,238,3,high
टॉम के आने से पहले तुम क्या कर रहे थे?,238,3,high
मैंने टॉम को बताया उसे क्या करना चाहिए पर उसने वैसा नहीं किया।,239,3,high
टॉम को पता नहीं था करना क्या है तो उसने कुछ नहीं किया।,239,3,high
क्या आप किसी ऐसे व्यक्ति को जानते हैं जो टॉम की मदद कर सकता है?,239,3,high
"कुछ समय के लिए, टॉम उत्प्रवास के बारे में सोच रहा है।",239,3,high
मैं नहीं बता सकता था कि टॉम क्या चाहता है।,239,3,high
मुझे टॉम से झूठ बोलने की कोई जरूरत नहीं है।,239,3,high
"आपकी सिफारिश के लिए धन्यवाद, टॉम को वह नौकरी मिल गई।",239,3,high
आखिरी बार जब मैंने टॉम को देखा तो वह समुद्र तट की ओर जा रहा था।,239,3,high
"जिस क्षण मैं टॉम से मिला, मुझे बस इतना पता था कि हम साथ रहेंगे।",239,3,high
टॉम ने मुझे उसके लिए कुछ खाना लाने को कहा।,239,3,high
टॉम कोई संकेत नहीं ले सकता। आपको वास्तव में उसे इसका जादू करना होगा।,240,3,high
टॉम समझ नहीं पा रहा था कि वह कहाँ है।,240,3,high
टॉम ने खुद को जल्दी उठने के लिए मजबूर किया।,240,3,high
टॉम कुछ समय से विदेश जाने के बारे में सोच रहा है।,240,3,high
टॉम टीवी नहीं देख रहा है। वह एक किताब पढ़ रहा है।,240,3,high
"टॉम एक साल सड़क पर रहा, भोजन के लिए छटपटाता रहा।",240,3,high
टॉम ने मुझे ऐसे देखा जैसे मैं पागल हो गया हूं।,240,3,high
"टॉम ने झाँक कर देखा, लेकिन किसी को नहीं देखा।",240,3,high
टॉम अपना ज्यादातर समय मैरी की मदद करने में बिताता है।,240,3,high
महिलाएं दिन में कितनी बार सेक्स के बारे में सोचती हैं?,240,3,high
आप तो यह भी नहीं जानते कि मैं कौन हूँ।,241,3,low
तुम तो यह भी नहीं जानते कि मैं कौन हूँ।,241,3,low
तुम तो यह भी नहीं जानती कि मैं कौन हूँ।,241,3,low
रॅशेल कॉरी एक अमरीकी थीं जो गाज़ा में मारी गयी थीं।,241,3,low
लैला हर कदम के साथ मौत की ओर बड़ती जा रही थी।,241,3,low
मैं शायद ऑस्ट्रेल्या में एक या दो दिन के लिए रह सकता हूँ।,241,3,low
हमें उसे करने पर हमारा समय व्यर्थ में गवाना नहीं चाहिए था।,241,3,low
टॉम ने मुझे बताया की वह अगले सोमवार को ऑस्ट्रेल्या में होगा।,241,3,low
बुरे मौसम के कारण टॉम नाटक देखने के लिए नहीं जा सका।,241,3,low
मुझे नहीं लगता की हमारे समूह का जीतने का कोई मौक़ा है।,241,3,low
टॉम को एक लड़की से प्यार हो गया जिसे वह बॉस्टन में मिला था।,242,3,low
मुझे लगता है कि टॉम उसे फिर से नहीं करेगा।,242,3,low
"उसके प्रथम पत्नी के मौत के बाद, टॉम ने फिर से शादी की।",242,3,low
टॉम की पहली पत्नी का उमर उसके उम्र से ज़्यादा था।,242,3,low
यदि तुम उसे पूछो तो भी टॉम उसे नहीं करेगा।,242,3,low
"जब तक तुम टॉम को नहीं पूछोगे, तब तक वह उसे नहीं करेगा।",242,3,low
टॉम जैसे किसी व्यक्ति से प्यार करना आसान नहीं है।,242,3,low
"शादी से पहले, क्या तुम मेरे अभिभावकों को जानते थे?",242,3,low
"यदि वह बुरा, गंदा या गलत न हो तो ठीक है।",242,3,low
क्या आप कृपया चिट्ठी पे एक साठ पैसे का डाक टिकिट लगवा देंगे?,242,3,low
टॉम मेरी से मिलने के एक मौक़े के लिए मर रहा है।,243,3,low
नब्बे होने के बावजूद टॉम के नानाजी एक सक्रिय जीवन बिताते हैं।,243,3,low
इसलिए तो वह वहां से ना हीं निकल सकते थे न उनकी खैरो खैरियत पूछ सकता था.,243,3,low
